ID_INMUEBLE,ID _ESTADO,ESTADO,NOMBRE_VIALIDAD,TIPO_VIALIDAD,NUMERO_EXTERIOR,NUMERO_INTERIOR,TIPO_ASENTAMIENTO,ID_LOCALIDAD,NOMBRE_LOCALIDAD,ID_MUNICIPIO,MUNICIPIO,CODIGO_POSTAL,NATURALEZA_INMUEBLE
169,13,Hidalgo,Domicilio conocido,Calle,sin número,sin número,Ranchería,0001,Lolotla,34,Lolotla,43140,Rústica
170,13,Hidalgo,Domicilio conocido,Calle,sin número,sin número,Ranchería,0001,Ixtlahuaco,34,Lolotla,43141,Rústica
171,13,Hidalgo,Camino a Honey Puebla,Carretera,sin número,sin número,Fraccionamiento,0020,Metepec,35,Metepec,43400,Urbana
172,13,Hidalgo,Morelos,Carretera,sin número,sin número,Barrio,0001,San Agustín Metzquititlán,36,San Agustín Metzquititlán,43380,Urbana
173,13,Hidalgo,Domicilio conocido,Calle,sin número,sin número,Ranchería,0001,San Pablo Tetlapaya,37,Metztitlán,43350,Rústica
174,13,Hidalgo,Encarnación Monzalvo,Calle,sin número,sin número,Pueblo,0041,Mineral del Chico,38,Mineral del Chico,42127,Urbana
175,13,Hidalgo,Carretera Pachuca Tampico Kilómetro. 13.2,Carretera,sin número,sin número,Unidad habitacional,0001,Mineral del Monte,39,Mineral del Monte,42144,Urbana
176,13,Hidalgo,Carretera Pachuca-Tampico,Carretera,sin número,sin número,Ranchería,0001,Mineral del Monte,39,Mineral del Monte,42143,Urbana
177,13,Hidalgo,Tezoantla y Santa Rosalía,Calle,sin número,sin número,Barrio,0001,Mineral del Monte,39,Mineral del Monte,42149,Rústica
178,13,Hidalgo,Domicilio conocido,Camino,sin número,sin número,Ranchería,0001,Mineral del Monte,39,Mineral del Monte,42130,Rústica
179,13,Hidalgo,Domicilio conocido,Carretera,sin número,sin número,Barrio,0001,Mineral del Monte,39,Mineral del Monte,42137,Urbana
180,13,Hidalgo,Domicilio conocido,Camino,sin número,sin número,Barrio,0001,Mineral del Monte,39,Mineral del Monte,42136,Urbana
181,13,Hidalgo,Domicilio conocido,Calle,sin número,sin número,Ranchería,0001,La misión,40,La Misión,42273,Urbana
182,13,Hidalgo,Teodomiro Manzano,Calle,sin número,sin número,Colonia,0001,Mineral del Monte,39,Mineral del Monte,42130,Urbana
183,13,Hidalgo,Pahuca-Tampico kilómetro 11 con camino,Carretera,sin número,sin número,Barrio,0001,Mineral del Monte,39,Mineral del Monte,42186,Urbana
184,13,Hidalgo,Entre la carretera a Pachuca-Mineral del Chico y Pachuca-Huejutla,Carretera,sin número,sin número,Barrio,0001,Mineral del Monte,39,Mineral del Monte,42137,Urbana
185,13,Hidalgo,Boulevard Paseo del Agrarismo,Boulevard,sin número,sin número,Ranchería,0001,Mixquiahuala de Juárez,41,Mixquiahuala de Juárez,42710,Rústica
186,13,Hidalgo,Avenida Reforma,Avenida,sin número,sin número,Barrio,0001,Mixquiahuala de Juárez,41,Mixquiahuala de Juárez,42700,Urbana
187,13,Hidalgo,Veracruz,Calle,sin número,sin número,Colonia,0001,Mixquiahuala de Juárez,41,Mixquiahuala de Juárez,42710,Rústica
188,13,Hidalgo,Hidalgo,Avenida,11,sin número,Barrio,0001,Molango de Escamilla,42,Molango de Escamilla,43100,Urbana
189,13,Hidalgo,Corregidora,Avenida,sin número,sin número,Barrio,0001,Molango de Escamilla,42,Molango de Escamilla,43100,Urbana
190,13,Hidalgo,Altamirano,Calle,sin número,sin número,Colonia,0001,Molango de Escamilla,42,Molango de Escamilla,43100,Urbana
191,13,Hidalgo,Domicilio conocido,Calle,sin número,sin número,Barrio,0001,Molango de Escamilla,42,Molango de Escamilla,43103,Urbana
192,13,Hidalgo,Domicilio conocido,Calle,sin número,sin número,Barrio,0001,Molango de Escamilla,42,Molango de Escamilla,43105,Rústica
193,13,Hidalgo,Domicilio conocido,Calle,sin número,sin número,Barrio,0001,Molango de Escamilla,42,Molango de Escamilla,43100,Rústica
194,13,Hidalgo,Domicilio conocido,Calle,sin número,sin número,Barrio,0001,Molango de Escamilla,42,Molango de Escamilla,43103,Rústica
