ID_INMUEBLE,INSTITUCIÓN_A_CARGO_DEL_INMUEBLE,TITULO_PROPIEDAD
98,Oficialía Mayor,"1.-Escritura Pública número 21,351, Libro 877, Folios 7347-7352 de Fecha 20 de Abril de 2012, Notaría Pública número 6 de Pachuca de Soto, Hidalgo.2.- Escritura Pública número 21,824, Libro 890, Folios 9815-9819 de Fecha 08 de Febrero de 2013, Notaría Pública número 6 de Pachuca de Soto, Hidalgo.3.- Escritura Pública número 17656, vol 916  de fecha 19 de agosto de 2013,ante  la Notaría Pública número 6 de Pachuca de Soto, Hidalgo."
99,Oficialía Mayor,"Escritura Pública número 17655, Volúmen 916 de fecha 19 de agosto de 2013, ante la  Notaría Pública número 14 de Pachuca de Soto, Hidalgo."
100,Oficialía Mayor,"Escritura Pública número 32529, Volúmen 2481 de fecha 28 de septiembre de 2018, ante la  Notaría Pública número 5 deTizayuca, Hidalgo."
101,Oficialía Mayor,"Escritura Pública número 32529, Volúmen 2481 de fecha 28 de septiembre de 2018, ante la  Notaría Pública número 5 deTizayuca, Hidalgo."
102,Oficialía Mayor,"Escritura Pública número 32529, Volúmen 2481 de fecha 28 de septiembre de 2018, ante la  Notaría Pública número 5 deTizayuca, Hidalgo."
103,Oficialía Mayor,"Escritura Pública número 32529, Volúmen 2481 de fecha 28 de septiembre de 2018, ante la  Notaría Pública número 5 deTizayuca, Hidalgo."
104,Oficialía Mayor,"Escritura Pública número 32529, Volúmen 2481 de fecha 28 de septiembre de 2018, ante la  Notaría Pública número 5 deTizayuca, Hidalgo."
105,Oficialía Mayor,"Escritura Pública número 15667, Volúmen 247 de fecha 02 de octubre de 1997, ante la Notaría Pública número 4 de Tula de Allende, Hidalgo."
106,Oficialía Mayor,Decreto de Expropiación de la Secretaría de la Reforma Agraria de fecha 10 de diciembre de 2004.
107,Oficialía Mayor,"Escritura Pública número 2667, Volúmen 67 de fecha 21 de septiembre de 2000, Notaría Pública número 12 de Pachuca de Soto."
108,Oficialía Mayor,Contrato privado de Compra Venta de fecha 11 de mayo de 2000.
109,Oficialía Mayor,"1.- Escritura Pública No 2, Volúmen 2 de fecha 10 de noviembre de 1958, ante la fe del Lic. Vicente Jonguitud Moctesuma, Notaría Público número 9 de Ixmiquilpan.2.- Escritura Pública 3383, Volúmen 42 de fecha 27 julio 1991, ante el Lic. Raúl Durán Morteno, Notario 2 de Huejutla de Reyes."
110,Oficialía Mayor,"Escritura Pública número 106641 de fecha 31 de agosto de 2018, ante la Notaría Pública número 4 de Tula de Allende, Hidalgo."
111,Oficialía Mayor,"Escritura Pública número 59495 de fecha 9 de septiembre de 2015, ante el Lic. Jaime Isauro Galindo Moreno ante la Notaría Pública número 1 de Zimapan, Hidalgo."
112,Oficialía Mayor,"Escritura Pública número 5111, Volumen 96 de fecha 13 de octubre del 2003. ante la Notaría Pública número  52 de Tenango de Doria, Hidalgo."
113,Oficialía Mayor,"Escritura Pública número 5088, Volúmen 93 de fecha 24 de septiembre del 2003. ante la Notaría Pública número 1 de Tenango de Doria, Hidalgo."
114,Oficialía Mayor,"Escritura Pública número 25107, Volúmen 1287 de fecha 27 de diciembre de 2005, ante la fe del Lic. Juan Linares Quinto Notarío Público número 7 de Pachuca de Soto, Hidalgo."
115,Oficialía Mayor,"Escritura Pública número 5098, Volúmen 114 de fecha 25 de marzo de 1993, ante la Notaría Pública número 9 de Pachuca de Soto, Hidalgo."
116,Oficialía Mayor,Contrato número Cd y Tdp 2003 004 de fecha 16 de diciembre 2003. 2.- Decreto de expropiación de fecha 15 de agosto de 1994.
117,Oficialía Mayor,"Escritura Pública número 19 de fecha 24 de mayo de 1947, ante la Notaría Pública número 4 de Actopan, Hidalgo."
118,Oficialía Mayor,"Escritura Pública número 4422, Volúmen XCVIII, Foja 66 de fecha 11 de mayo de 1998, ante la Notaría Pública número 3 de Actopan, Hidalgo"
